ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
1,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72,data scientist,Not Specified,Master's,Python,72,53
1,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72,data scientist,Not Specified,Master's,Excel,72,53
1,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72,data scientist,Not Specified,Master's,SAS,72,53
1,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72,data scientist,Not Specified,Master's,Tableau,72,53
1,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",501 - 1000,1973,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),53,91,72,data scientist,Not Specified,Master's,Power BI,72,53
2,Healthcare Data Scientist,3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000+,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),63,112,87.5,data scientist,Not Specified,Master's,Python,87.5,42
3,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),80,90,85,data scientist,Not Specified,Master's,Python,85,16
3,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),80,90,85,data scientist,Not Specified,Master's,Spark,85,16
3,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),80,90,85,data scientist,Not Specified,Master's,Excel,85,16
3,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),80,90,85,data scientist,Not Specified,Master's,SQL,85,16
3,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 - 1000,2010,Private,Security Services,Business Services,$100 to $500 million (USD),80,90,85,data scientist,Not Specified,Master's,SAS,85,16
4,Data Scientist,3.8,PNNL,"Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),56,97,76.5,data scientist,Not Specified,Not specified,Python,76.5,61
5,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,86,143,114.5,data scientist,Not Specified,Not specified,Python,114.5,28
5,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,86,143,114.5,data scientist,Not Specified,Not specified,Excel,114.5,28
5,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,86,143,114.5,data scientist,Not Specified,Not specified,SQL,114.5,28
5,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",51 - 200,1998,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,86,143,114.5,data scientist,Not Specified,Not specified,SAS,114.5,28
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,Python,95,26
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,AWS,95,26
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,Excel,95,26
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,SQL,95,26
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,Power BI,95,26
6,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 - 500,2000,Public,Real Estate,Real Estate,$1 to $2 billion (USD),71,119,95,data scientist,Not Specified,Not specified,MongoDB,95,26
7,Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 - 1000,2008,Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,54,93,73.5,data scientist,Not Specified,Not specified,Excel,73.5,18
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Python,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Spark,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,AWS,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,Excel,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,SQL,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,PyTorch,114,21
8,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 - 500,2005,Private,Consulting,Business Services,$25 to $50 million (USD),86,142,114,data scientist,Not Specified,Master's,TensorFlow,114,21
10,Data Scientist,4.6,<intent>,"New York, NY","New York, NY",51 - 200,2009,Private,Internet,Information Technology,$100 to $500 million (USD),120,160,140,data scientist,Not Specified,Not specified,Python,140,17
10,Data Scientist,4.6,<intent>,"New York, NY","New York, NY",51 - 200,2009,Private,Internet,Information Technology,$100 to $500 million (USD),120,160,140,data scientist,Not Specified,Not specified,Spark,140,17
11,Data Scientist,3.5,Wish,"San Jose, CA","San Francisco, CA",501 - 1000,2011,Private,Other Retail Stores,Retail,$1 to $2 billion (USD),126,201,163.5,data scientist,Not Specified,Not specified,Python,163.5,15
12,Data Scientist,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 - 10000,1968,Public,Research & Development,Business Services,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,SQL,85,58
12,Data Scientist,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 - 10000,1968,Public,Research & Development,Business Services,$1 to $2 billion (USD),64,106,85,data scientist,Not Specified,Not specified,Hadoop,85,58
13,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+,1962,Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139,data scientist,Not Specified,Master's,SQL,139,64
13,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+,1962,Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),106,172,139,data scientist,Not Specified,Master's,Hadoop,139,64
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,Python,65.5,14
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,Spark,65.5,14
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,AWS,65.5,14
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,Excel,65.5,14
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,SQL,65.5,14
14,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",201 - 500,2012,Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,46,85,65.5,analyst,Not Specified,Not specified,Tableau,65.5,14
